Film,International,Domestic,Year
"Arts, entertainment and recreation",82,67,2021
Energy production and supply,120.2,14,2021
Finance and insurance,96.6,61,2021
"Professional, scientific and technical",100.2,224,2021
Transportation and storage,84.6,174,2021
"Arts, entertainment and recreation",69,81,2020
Energy production and supply,109.5,12,2020
Finance and insurance,98.6,72,2020
"Professional, scientific and technical",92.9,210,2020
Transportation and storage,89.9,177,2020
"Arts, entertainment and recreation",100,71,2019
Energy production and supply,100,12,2019
Finance and insurance,100,72,2019
"Professional, scientific and technical",100,206,2019
Transportation and storage,100,181,2019
"Arts, entertainment and recreation",100.7,65,2018
Energy production and supply,85,11,2018
Finance and insurance,103,70,2018
"Professional, scientific and technical",104.5,230,2018
Transportation and storage,96.2,162,2018
"Arts, entertainment and recreation",105.6,75,2017
Energy production and supply,75.9,17,2017
Finance and insurance,99.7,65,2017
"Professional, scientific and technical",109.5,216,2017
Transportation and storage,92.8,175,2017
"Arts, entertainment and recreation",93.1,70,2016
Energy production and supply,88.5,14,2016
Finance and insurance,101.2,65,2016
"Professional, scientific and technical",102.5,203,2016
Transportation and storage,94.6,176,2016
