Film,Profit,Costs,Year
Transformers: Age Of Extinction,250155000,100038390,2014
American Sniper,242580000,633456,2014
The Lego Movie,229008000,69050279,2014
The Hunger Games: Mockingjay Part 1,211609000,121897634,2014
Guardians of the Galaxy,204200000,94320883,2014
Maleficent,190770000,69431298,2014
Big Hero 6,187339000,56215889,2014
Dawn Of The Planet Of The Apes,182179000,72611427,2014
Captain America: The Winter Soldier,166224000,95023721,2014
22 Jump Street,144476000,57071445,2014
Neighbors,136050000,49033915,2014
Gone Girl,129990000,37513109,2014
How to Train Your Dragon 2,107337000,49451322,2014
The Hobbit: The Battle of the Five Armies,103379000,54724334,2014
Teenage Mutant Ninja Turtles,81310000,25398367,2014
X-Men: Days Of Future Past,77384000,90823660,2014
Divergent,71868000,54607747,2014
The Amazing Spider-Man 2,70377000,91608337,2014
Godzilla,52477000,93188384,2014
Interstellar,47161000,47510360,2014
Star Wars: The Force Awakens,923860000,247966675,2015
Minions,502340000,115718405,2015
Jurassic World,474630000,145075625,2022
Avengers: Age Of Ultron,382320000,191271109,2015
Furious 7,354030000,147187040,2015
Inside Out,279510000,90440272,2015
Fifty Shades Of Grey,255460000,85171450,2015
Cinderella,164770000,67877361,2015
Hotel Transylvania 2,159480000,48464322,2015
The Martian,150320000,54308575,2015
Pitch Perfect 2,139640000,69216890,2015
The Hunger Games: Mockingjay Part 2,134390000,102665981,2015
Mission: Impossible – Rogue Nation,109800000,55520089,2015
Ant-Man,103900000,57225526,2015
The SpongeBob Movie: Sponge Out Of Water,99800000,55365012,2015
Spectre,98400000,70403148,2015
Straight Outta Compton,91120000,60200180,2015
San Andreas,88070000,54588173,2015
The Revenant,61600000,474560,2015
Home,29120000,17081997,2015
The Secret Life Of Pets,374650000,104352905,2016
Deadpool,322240000,132434639,2016
Rogue One: A Star Wars Stor,319600000,155081681,2016
Finding Dory,296600000,135060273,2016
Zootopia,294900000,75063401,2016
The Jungle Book,258150000,103261464,2016
Sing,194250000,35258145,2016
Captain America: Civil War,193400000,179139142,2016
Fantastic Beasts And Where To Find Them,164700000,74403387,2016
Suicide Squad,158450000,133682248,2016
Doctor Strange,122650000,85058311,2016
Moana,121300000,56631401,2016
Batman V Superman: Dawn Of Justice,105700000,166007347,2016
The Conjuring 2,98300000,40406314,2016
Hidden Figures,95550000,515499,2016
Kung Fu Panda 3,76650000,41282042,2016
The Angry Birds Movie,72000000,38155177,2016
La La Land,68250000,881104,2016
Don’t Breathe,59100000,26411706,2016
Central Intelligence,52000000,35535250,2016
Star Wars: The Last Jedi,417500000,220009584,2017
Beauty and the Beast,414700000,174750616,2017
Despicable Me3,366200000,72434025,2017
Jumanji: Welcome to the Jungle,305700000,36169328,2017
It,293700000,4163338,2017
Wonder Woman,252900000,103251471,2017
Spider-Man: Homecoming,200100000,117027503,2017
Thor: Ragnarok,174200000,122744989,2017
Guardians of the Galaxy Vol. 2,154700000,146510104,2017
Get Out,124300000,4500000,2017
The Avengers: Infinity War,500000000,257698183,2018
Black Panther,476800000,181339761,2018
Incredibles 2,447400000,182687905,2018
Bohemian Rhapsody,350800000,51061119,2018
Aquaman,260500000,67873522,2018
Venom,246900000,80255756,2018
Deadpool 2,235400000,125507153,2018
Jurassic World: Fallen Kingdom,222800000,148024610,2018
Dr. Seuss’ The Grinch,184600000,67572855,2018
A Star Is Born,178100000,42908051,2018
Avengers: Endgame,890000000.00,899000000.00,2019.00
The Lion King,599000000.00,621000000.00,2019.00
Toy Story 4,580000000.00,503000000.00,2019.00
Frozen II,437000000.00,453000000.00,2019.00
Captain Marvel,414000000.00,451000000.00,2019.00
Star Wars: Episode IX - Rise of Skywalker,368000000.00,627000000.00,2019.00
Spierman: Far From Home,356000000.00,448000000.00,2019.00
Aladin,339000000.00,455000000.00,2019.00
Joker,300000000.00,621000000.00,2019.00
It Chapter Two,169000000.00,260000000.00,2019.00
